Timestamp;WebRequestCount
2019-06-03 00:00:00;578822.00
2019-06-04 00:00:00;472298.00
2019-06-05 00:00:00;65900.00
2019-06-06 00:00:00;341203.00
2019-06-07 00:00:00;412435.00
2019-06-08 00:00:00;35994.00
2019-06-09 00:00:00;17267.00
2019-06-10 00:00:00;499337.00
2019-06-11 00:00:00;582099.00
2019-06-12 00:00:00;988009.00
2019-06-13 00:00:00;1445434.00
2019-06-14 00:00:00;1230451.00
2019-06-15 00:00:00;184494.00
2019-06-16 00:00:00;90632.00
2019-06-17 00:00:00;923901.00
2019-06-18 00:00:00;934704.00
2019-06-19 00:00:00;718611.00
2019-06-20 00:00:00;705728.00
2019-06-21 00:00:00;299690.00
2019-06-22 00:00:00;8870.00
2019-06-23 00:00:00;6129.00
2019-06-24 00:00:00;121095.00
2019-06-25 00:00:00;132306.00
2019-06-26 00:00:00;101697.00
2019-06-27 00:00:00;232881.00
2019-06-28 00:00:00;120412.00
2019-06-29 00:00:00;10989.00
2019-06-30 00:00:00;10837.00
2019-07-01 00:00:00;390978.00
2019-07-02 00:00:00;311610.00
2019-07-03 00:00:00;152116.00
2019-07-04 00:00:00;403862.00
2019-07-05 00:00:00;591134.00
2019-07-06 00:00:00;42993.00
2019-07-07 00:00:00;14975.00
2019-07-08 00:00:00;833819.00
2019-07-09 00:00:00;892725.00
2019-07-10 00:00:00;463319.00
2019-07-11 00:00:00;547144.00
2019-07-12 00:00:00;454576.00
2019-07-13 00:00:00;33066.00
2019-07-14 00:00:00;24330.00
2019-07-15 00:00:00;540092.00
2019-07-16 00:00:00;528519.00
2019-07-17 00:00:00;517606.00
2019-07-18 00:00:00;351850.00
2019-07-19 00:00:00;401922.00
2019-07-20 00:00:00;26261.00
2019-07-21 00:00:00;19688.00
2019-07-22 00:00:00;484858.00
2019-07-23 00:00:00;557547.00
2019-07-24 00:00:00;427596.00
2019-07-25 00:00:00;358223.00
2019-07-26 00:00:00;445264.00
2019-07-27 00:00:00;55755.00
2019-07-28 00:00:00;12595.00
2019-07-29 00:00:00;365398.00
2019-07-30 00:00:00;329849.00
2019-07-31 00:00:00;583855.00
2019-08-01 00:00:00;394563.00
2019-08-02 00:00:00;428458.00
2019-08-03 00:00:00;28716.00
2019-08-04 00:00:00;15937.00
2019-08-05 00:00:00;473248.00
2019-08-06 00:00:00;507030.00
2019-08-07 00:00:00;378834.00
2019-08-08 00:00:00;399835.00
2019-08-09 00:00:00;543082.00
2019-08-10 00:00:00;71899.00
2019-08-11 00:00:00;19537.00
2019-08-12 00:00:00;493320.00
2019-08-13 00:00:00;600047.00
2019-08-14 00:00:00;615104.00
2019-08-15 00:00:00;70323.00
2019-08-16 00:00:00;419538.00
2019-08-17 00:00:00;30580.00
2019-08-18 00:00:00;31062.00
2019-08-19 00:00:00;841342.00
2019-08-20 00:00:00;1007601.00
2019-08-21 00:00:00;138233.00
2019-08-22 00:00:00;470976.00
2019-08-23 00:00:00;984574.00
2019-08-24 00:00:00;102666.00
2019-08-25 00:00:00;32.00
2019-08-26 00:00:00;661013.00
2019-08-27 00:00:00;1562661.00
2019-08-28 00:00:00;927260.00
2019-08-29 00:00:00;740978.00
2019-08-30 00:00:00;390248.00
2019-08-31 00:00:00;31070.00
2019-09-01 00:00:00;26784.00
2019-09-02 00:00:00;114369.00
2019-09-03 00:00:00;1206912.00
2019-09-04 00:00:00;495573.00
2019-09-05 00:00:00;373364.00
2019-09-06 00:00:00;668654.00
2019-09-07 00:00:00;29688.00
2019-09-08 00:00:00;14601.00
2019-09-09 00:00:00;959512.00
2019-09-10 00:00:00;806135.00
2019-09-11 00:00:00;450236.00
2019-09-12 00:00:00;578621.00
2019-09-13 00:00:00;446526.00
2019-09-14 00:00:00;24458.00
2019-09-15 00:00:00;13808.00
2019-09-16 00:00:00;1327707.00
2019-09-17 00:00:00;1172397.00
2019-09-18 00:00:00;1056952.00
2019-09-19 00:00:00;1262137.00
2019-09-20 00:00:00;640852.00
2019-09-21 00:00:00;28879.00
2019-09-22 00:00:00;29463.00
2019-09-23 00:00:00;1773555.00
2019-09-24 00:00:00;1281599.00
