Timestamp;WebRequestCount;
2019-10-07 04:30:00;433.00;
2019-10-07 05:30:00;1372.00;
2019-10-07 06:30:00;2045.00;
2019-10-07 07:30:00;4950.00;
2019-10-07 08:30:00;15042.00;
2019-10-07 09:30:00;27634.00;
2019-10-07 10:30:00;33589.00;
2019-10-07 11:30:00;95208.00;
2019-10-07 12:30:00;120836.00;
2019-10-07 13:30:00;120616.00;
2019-10-07 14:30:00;68110.00;
2019-10-07 15:30:00;75387.00;
2019-10-07 16:30:00;18801.00;
2019-10-07 17:30:00;13881.00;
2019-10-07 18:30:00;11079.00;
2019-10-07 19:30:00;7352.00;
2019-10-07 20:30:00;4597.00;
2019-10-07 21:30:00;3421.00;
2019-10-07 22:30:00;1883.00;
2019-10-07 23:30:00;1268.00;
2019-10-08 00:30:00;1257.00;
2019-10-08 01:30:00;872.00;
2019-10-08 02:30:00;374.00;
2019-10-08 03:30:00;271.00;
2019-10-08 04:30:00;704.00;
2019-10-08 05:30:00;722.00;
2019-10-08 06:30:00;1238.00;
2019-10-08 07:30:00;1372.00;
2019-10-08 08:30:00;2872.00;
2019-10-08 09:30:00;3619.00;
2019-10-08 10:30:00;5473.00;
2019-10-08 11:30:00;6897.00;
2019-10-08 12:30:00;6018.00;
2019-10-08 13:30:00;6657.00;
2019-10-08 14:30:00;6653.00;
2019-10-08 15:30:00;5818.00;
2019-10-08 16:30:00;4211.00;
2019-10-08 17:30:00;3472.00;
2019-10-08 18:30:00;3024.00;
2019-10-08 19:30:00;3457.00;
2019-10-08 20:30:00;2482.00;
2019-10-08 21:30:00;1937.00;
2019-10-08 22:30:00;2830.00;
2019-10-08 23:30:00;1060.00;
2019-10-09 00:30:00;736.00;
2019-10-09 01:30:00;415.00;
2019-10-09 02:30:00;309.00;
2019-10-09 03:30:00;306.00;
2019-10-09 04:30:00;256.00;
2019-10-09 05:30:00;964.00;
2019-10-09 06:30:00;1551.00;
2019-10-09 07:30:00;5011.00;
2019-10-09 08:30:00;49938.00;
2019-10-09 09:30:00;30866.00;
2019-10-09 10:30:00;42923.00;
2019-10-09 11:30:00;43261.00;
2019-10-09 12:30:00;36585.00;
2019-10-09 13:30:00;35436.00;
2019-10-09 14:30:00;40328.00;
2019-10-09 15:30:00;34600.00;
2019-10-09 16:30:00;45547.00;
2019-10-09 17:30:00;22774.00;
2019-10-09 18:30:00;18682.00;
2019-10-09 19:30:00;21426.00;
2019-10-09 20:30:00;8602.00;
2019-10-09 21:30:00;7540.00;
2019-10-09 22:30:00;5507.00;
2019-10-09 23:30:00;4415.00;
2019-10-10 00:30:00;2766.00;
2019-10-10 01:30:00;694.00;
2019-10-10 02:30:00;648.00;
2019-10-10 03:30:00;445.00;
2019-10-10 04:30:00;586.00;
2019-10-10 05:30:00;1259.00;
2019-10-10 06:30:00;1529.00;
2019-10-10 07:30:00;3530.00;
2019-10-10 08:30:00;12745.00;
2019-10-10 09:30:00;20615.00;
2019-10-10 10:30:00;34541.00;
2019-10-10 11:30:00;60036.00;
2019-10-10 12:30:00;28566.00;
2019-10-10 13:30:00;33745.00;
2019-10-10 14:30:00;59592.00;
2019-10-10 15:30:00;38091.00;
2019-10-10 16:30:00;55414.00;
2019-10-10 17:30:00;55998.00;
2019-10-10 18:30:00;35467.00;
2019-10-10 19:30:00;10853.00;
2019-10-10 20:30:00;5587.00;
2019-10-10 21:30:00;45732.00;
2019-10-10 22:30:00;28772.00;
2019-10-10 23:30:00;16601.00;
2019-10-11 00:30:00;16182.00;
2019-10-11 01:30:00;20213.00;
2019-10-11 02:30:00;16009.00;
2019-10-11 03:30:00;50275.00;
2019-10-11 04:30:00;56486.00;
